Employee,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Dave,,,,,,,
Ethan,Afternoon,Afternoon,Afternoon,Afternoon,Afternoon,,
Grace,Morning,Morning,Evening,Evening,,Morning,
Luna,,,,,,,
Frank,Evening,Evening,Morning,Afternoon,Morning,,
Liz,,,,,,,
Ash,,,,,,,Afternoon
Jeff,,,,,,,Morning
Bob,Afternoon,,Evening,Morning,Morning,Afternoon,
Alice,,Morning,Afternoon,Evening,Afternoon,Morning,
Joe,,,,,,,
Beth,,,,,,,Afternoon
Helen,,,,,Evening,Evening,Evening
Charlie,Evening,Evening,,,Evening,Evening,Evening
Diana,Morning,Afternoon,Morning,Morning,,Afternoon,
Chris,,,,,,,Morning
